"DateTime";"Laveste";"Højeste";"Middel"
"2020-04-01 00:00:00";3.8;10;6.2
"2020-04-02 00:00:00";3.7;10.2;6.7
"2020-04-03 00:00:00";2.8;9;5.4
"2020-04-04 00:00:00";0;11.2;5.7
"2020-04-05 00:00:00";1.6;14.4;8.5
"2020-04-06 00:00:00";5.5;15.9;10.2
"2020-04-07 00:00:00";5;16.8;11.1
"2020-04-08 00:00:00";2.6;15;9.4
"2020-04-09 00:00:00";3.5;13.7;8.8
"2020-04-10 00:00:00";1;13.2;6.7
"2020-04-11 00:00:00";0.2;12;7.1
"2020-04-12 00:00:00";7.1;19.6;12.4
"2020-04-13 00:00:00";3.2;9.8;6.1
"2020-04-14 00:00:00";-0.3;10.5;5.9
"2020-04-15 00:00:00";6;15.4;9.7
"2020-04-16 00:00:00";4.7;14.3;9.4
"2020-04-17 00:00:00";2.2;14.3;7.5
"2020-04-18 00:00:00";-0.9;13.9;7.3
"2020-04-19 00:00:00";2.9;14.6;8.6
"2020-04-20 00:00:00";1.9;16.3;9.6
"2020-04-21 00:00:00";3.5;17.6;10.3
"2020-04-22 00:00:00";3.6;18.5;10.9
"2020-04-23 00:00:00";4.4;21.1;13.2
"2020-04-24 00:00:00";7;16.7;11.8
"2020-04-25 00:00:00";5.2;14.4;9.8
"2020-04-26 00:00:00";1.8;14.6;8.7
"2020-04-27 00:00:00";4;14.2;9.2
"2020-04-28 00:00:00";5.6;14.2;9.8
"2020-04-29 00:00:00";3.7;8.8;6.4
"2020-04-30 00:00:00";4.1;10.5;6.9
