"DateTime";"Laveste";"Højeste";"Middel"
"2020-08-01 00:00:00";11.1;24.5;18.4
"2020-08-02 00:00:00";16.7;22.9;19.4
"2020-08-03 00:00:00";12.9;22.1;17.1
"2020-08-04 00:00:00";10;22.2;16.7
"2020-08-05 00:00:00";11.6;23.3;18.3
"2020-08-06 00:00:00";14.2;28.7;21.7
"2020-08-07 00:00:00";15.6;30.2;22.7
"2020-08-08 00:00:00";16.3;31.5;22.7
"2020-08-09 00:00:00";15.2;32.4;23.9
"2020-08-10 00:00:00";18.2;30.5;23.1
"2020-08-11 00:00:00";17.2;27.1;21.1
"2020-08-12 00:00:00";16.1;26.1;20
"2020-08-13 00:00:00";15;27.4;20
"2020-08-14 00:00:00";12.5;28.3;20.5
"2020-08-15 00:00:00";14.4;30.2;22.2
"2020-08-16 00:00:00";15.8;30.7;23
"2020-08-17 00:00:00";17.1;30.8;23.4
"2020-08-18 00:00:00";17.8;28.3;22.1
"2020-08-19 00:00:00";17.1;26.7;20.4
"2020-08-20 00:00:00";16.2;23.5;20.1
"2020-08-21 00:00:00";16.5;24.4;20.4
"2020-08-22 00:00:00";17.5;25.8;21.2
"2020-08-23 00:00:00";15.6;23.6;18.6
"2020-08-24 00:00:00";12.9;21.6;16.5
"2020-08-25 00:00:00";11;20.8;16.1
"2020-08-26 00:00:00";14.7;22.2;18
"2020-08-27 00:00:00";12.9;17.7;15.3
"2020-08-28 00:00:00";12.3;18.2;15
"2020-08-29 00:00:00";12.5;20.9;15.7
"2020-08-30 00:00:00";10;21.6;15.5
"2020-08-31 00:00:00";10.7;20;15.3
