"DateTime";"Laveste";"Højeste";"Middel"
"2021-02-01 00:00:00";-4.1;3.2;0.2
"2021-02-02 00:00:00";-3.2;2;-0.6
"2021-02-03 00:00:00";-2.7;0.1;-1.5
"2021-02-04 00:00:00";-5.5;-1.6;-3.1
"2021-02-05 00:00:00";-6.4;-2.7;-4.5
"2021-02-06 00:00:00";-6.7;-3.1;-4.8
"2021-02-07 00:00:00";-5.9;-2;-4.1
"2021-02-08 00:00:00";-4.5;-1.4;-3.2
"2021-02-09 00:00:00";-5.2;-1.1;-3.3
"2021-02-10 00:00:00";-6;-1.4;-3.9
"2021-02-11 00:00:00";-7.6;-2.4;-5.2
"2021-02-12 00:00:00";-9.9;-0.1;-4.9
"2021-02-13 00:00:00";-10;3.4;-3.4
"2021-02-14 00:00:00";-9.9;2.6;-3.2
"2021-02-15 00:00:00";-6.3;1.6;-1
"2021-02-16 00:00:00";-1.2;1;-0.2
"2021-02-17 00:00:00";0.3;1.8;1
"2021-02-18 00:00:00";0.6;2.7;1.6
"2021-02-19 00:00:00";0.7;8.6;3.8
"2021-02-20 00:00:00";1.9;6.3;4
"2021-02-21 00:00:00";2;4.5;3.3
"2021-02-22 00:00:00";;;
"2021-02-23 00:00:00";;;
"2021-02-24 00:00:00";;;
"2021-02-25 00:00:00";;;
"2021-02-26 00:00:00";;;
"2021-02-27 00:00:00";;;
"2021-02-28 00:00:00";;;
