"DateTime";"Laveste";"Højeste";"Middel"
"2021-01-01 00:00:00";0.6;3.9;2.8
"2021-01-02 00:00:00";-0.6;2.9;1.5
"2021-01-03 00:00:00";-0.7;3.7;2.2
"2021-01-04 00:00:00";-1;1.9;0.7
"2021-01-05 00:00:00";0.6;2.4;1.7
"2021-01-06 00:00:00";-0.5;2.3;1
"2021-01-07 00:00:00";-0.1;2.2;1.1
"2021-01-08 00:00:00";-0.1;2.5;1.2
"2021-01-09 00:00:00";-0.1;2.5;1.4
"2021-01-10 00:00:00";0;2.3;1.1
"2021-01-11 00:00:00";1.4;4.7;3.4
"2021-01-12 00:00:00";-1;5;1.7
"2021-01-13 00:00:00";0;2.8;1.5
"2021-01-14 00:00:00";-1.6;2.1;0.4
"2021-01-15 00:00:00";-5.2;-0.8;-3
"2021-01-16 00:00:00";-7.7;0.3;-3.6
"2021-01-17 00:00:00";-5.3;0.9;-1.9
"2021-01-18 00:00:00";-3.1;2.5;0.6
"2021-01-19 00:00:00";1.2;3.7;2.5
"2021-01-20 00:00:00";2.7;6.6;5.3
"2021-01-21 00:00:00";4.4;8.4;5.9
"2021-01-22 00:00:00";2.5;7.4;4.8
"2021-01-23 00:00:00";1.2;4.6;2.9
"2021-01-24 00:00:00";-1.4;4.3;2.6
"2021-01-25 00:00:00";0;2.2;1.3
"2021-01-26 00:00:00";-2.9;2.6;0.5
"2021-01-27 00:00:00";-3.8;2.5;1.1
"2021-01-28 00:00:00";-4;1;-1
"2021-01-29 00:00:00";-5.6;-0.4;-2.8
"2021-01-30 00:00:00";-6.8;0.2;-1.7
"2021-01-31 00:00:00";-3.9;2.7;0.3
