"DateTime";"Laveste";"Højeste";"Middel"
"2020-07-01 00:00:00";13.2;21.1;16.9
"2020-07-02 00:00:00";13;21.6;17.2
"2020-07-03 00:00:00";12;19;15.2
"2020-07-04 00:00:00";13.6;17.6;15.7
"2020-07-05 00:00:00";13.9;21.8;17.7
"2020-07-06 00:00:00";12;19.2;14.9
"2020-07-07 00:00:00";10.2;18.7;13.5
"2020-07-08 00:00:00";8.4;18.2;13.3
"2020-07-09 00:00:00";8.3;17.8;13.5
"2020-07-10 00:00:00";8;14.9;12.2
"2020-07-11 00:00:00";10.5;19.5;14.6
"2020-07-12 00:00:00";9.8;19.2;14.6
"2020-07-13 00:00:00";11.2;19.6;15.4
"2020-07-14 00:00:00";11.2;22.1;16.7
"2020-07-15 00:00:00";12.9;20.2;15.7
"2020-07-16 00:00:00";11.4;19.3;15.4
"2020-07-17 00:00:00";13.2;24.1;18.2
"2020-07-18 00:00:00";12;24.7;19.1
"2020-07-19 00:00:00";15.5;26.8;21
"2020-07-20 00:00:00";13.5;21.3;17.7
"2020-07-21 00:00:00";11;20.8;15.8
"2020-07-22 00:00:00";10.1;20.8;15.6
"2020-07-23 00:00:00";9.5;21.5;15.9
"2020-07-24 00:00:00";13.5;21.4;16.7
"2020-07-25 00:00:00";9.5;21.8;16.8
"2020-07-26 00:00:00";14.2;21.5;18.3
"2020-07-27 00:00:00";12.5;21.5;17.4
"2020-07-28 00:00:00";14.1;23.6;18.9
"2020-07-29 00:00:00";12.5;20.1;15.5
"2020-07-30 00:00:00";12.5;18.9;15.3
"2020-07-31 00:00:00";12.3;22.9;16.5
