"DateTime";"Laveste";"Højeste";"Middel"
"2020-06-01 00:00:00";8.3;25.5;17.4
"2020-06-02 00:00:00";11.2;26.2;19.6
"2020-06-03 00:00:00";11.2;19.2;15
"2020-06-04 00:00:00";10.3;20.6;14.9
"2020-06-05 00:00:00";11.1;17.6;13.6
"2020-06-06 00:00:00";8.1;16.4;12
"2020-06-07 00:00:00";8.9;19.2;14.4
"2020-06-08 00:00:00";8.5;19.1;14.2
"2020-06-09 00:00:00";8.4;19.2;14.2
"2020-06-10 00:00:00";8;23.2;16
"2020-06-11 00:00:00";14.2;24.2;18.1
"2020-06-12 00:00:00";16.1;20.8;17.6
"2020-06-13 00:00:00";15.9;23.2;18.6
"2020-06-14 00:00:00";13.5;23.2;18.1
"2020-06-15 00:00:00";10.7;24.5;18.5
"2020-06-16 00:00:00";14.6;27.1;20.2
"2020-06-17 00:00:00";13.3;24.5;18.9
"2020-06-18 00:00:00";14.2;24.5;18.7
"2020-06-19 00:00:00";14.6;24.6;19.2
"2020-06-20 00:00:00";16.3;22.7;18.6
"2020-06-21 00:00:00";14.9;20;17.4
"2020-06-22 00:00:00";12.3;22.6;17.8
"2020-06-23 00:00:00";12.3;23.7;18.1
"2020-06-24 00:00:00";12.6;27.1;19.9
"2020-06-25 00:00:00";14.1;29;22.1
"2020-06-26 00:00:00";17.5;28.5;23
"2020-06-27 00:00:00";17.5;26.2;21.7
"2020-06-28 00:00:00";15.4;25;20
"2020-06-29 00:00:00";12.6;23.7;18.7
"2020-06-30 00:00:00";13.1;18.8;16.1
