"DateTime";"Laveste";"Højeste";"Middel"
"2020-05-01 00:00:00";4.2;13.2;8.7
"2020-05-02 00:00:00";6.3;12.9;9.3
"2020-05-03 00:00:00";5.8;15.1;10.5
"2020-05-04 00:00:00";4.1;14.8;9
"2020-05-05 00:00:00";4;12.6;8.5
"2020-05-06 00:00:00";4.1;15.3;9.8
"2020-05-07 00:00:00";6.6;16.5;11.8
"2020-05-08 00:00:00";5;18.6;12.3
"2020-05-09 00:00:00";6.1;18.5;12.4
"2020-05-10 00:00:00";7.8;21.6;13.4
"2020-05-11 00:00:00";3.1;10.5;7.5
"2020-05-12 00:00:00";-0.3;12.6;6.6
"2020-05-13 00:00:00";1.9;13;7.2
"2020-05-14 00:00:00";1.1;13.3;7.9
"2020-05-15 00:00:00";5.3;14;9.7
"2020-05-16 00:00:00";7.2;13.4;10.2
"2020-05-17 00:00:00";6;16.8;10.7
"2020-05-18 00:00:00";8.9;14.4;10.9
"2020-05-19 00:00:00";6.2;15.9;11.8
"2020-05-20 00:00:00";4.6;17.7;11.3
"2020-05-21 00:00:00";6.2;18.5;12.7
"2020-05-22 00:00:00";10.3;18.7;14
"2020-05-23 00:00:00";9.7;18;13.3
"2020-05-24 00:00:00";8.4;15.7;11.8
"2020-05-25 00:00:00";9.4;19.3;13.3
"2020-05-26 00:00:00";7.6;19.7;14.1
"2020-05-27 00:00:00";8.1;18.7;13.6
"2020-05-28 00:00:00";8.2;20.5;14.1
"2020-05-29 00:00:00";5.9;20.8;13.7
"2020-05-30 00:00:00";7.3;20.7;13.9
"2020-05-31 00:00:00";9.1;23.5;16.1
