"DateTime";"Laveste";"Højeste";"Middel"
"2020-03-01 00:00:00";2.5;7.9;5.3
"2020-03-02 00:00:00";2.7;9.5;5.1
"2020-03-03 00:00:00";2.1;4.8;3.7
"2020-03-04 00:00:00";2.7;9.2;4.7
"2020-03-05 00:00:00";1.2;7.3;3.8
"2020-03-06 00:00:00";2;7;4.5
"2020-03-07 00:00:00";0.5;9.4;4.6
"2020-03-08 00:00:00";1.1;8.3;6
"2020-03-09 00:00:00";4;9.7;6.8
"2020-03-10 00:00:00";2;8.2;5.8
"2020-03-11 00:00:00";5.2;11;7.6
"2020-03-12 00:00:00";4.2;8.8;6.6
"2020-03-13 00:00:00";1.1;8.4;4.4
"2020-03-14 00:00:00";-4.7;6.6;2.2
"2020-03-15 00:00:00";2.8;9;6.1
"2020-03-16 00:00:00";4;11.2;8.1
"2020-03-17 00:00:00";1.5;11.4;7.5
"2020-03-18 00:00:00";6.6;10.2;8.5
"2020-03-19 00:00:00";2.3;11.3;7
"2020-03-20 00:00:00";1.4;11;5.3
"2020-03-21 00:00:00";-0.9;9;3.9
"2020-03-22 00:00:00";-0.4;6.6;2.5
"2020-03-23 00:00:00";-0.4;5.7;2.5
"2020-03-24 00:00:00";0.5;7.6;4.1
"2020-03-25 00:00:00";1.2;8.4;4.8
"2020-03-26 00:00:00";-1.8;9.9;4.8
"2020-03-27 00:00:00";0;12.1;6
"2020-03-28 00:00:00";-0.3;12.4;5.8
"2020-03-29 00:00:00";-2.2;6.6;2.5
"2020-03-30 00:00:00";-1.8;8.3;3.8
"2020-03-31 00:00:00";-3.7;9.5;3.7
