"DateTime";"Laveste";"Højeste";"Middel"
"2020-11-01 00:00:00";11.4;13.8;12.4
"2020-11-02 00:00:00";10.9;17.2;14.9
"2020-11-03 00:00:00";7;13;10.7
"2020-11-04 00:00:00";7.2;12.5;9.4
"2020-11-05 00:00:00";7.1;12.3;9.9
"2020-11-06 00:00:00";7.1;12.8;11
"2020-11-07 00:00:00";4.3;11.3;8.7
"2020-11-08 00:00:00";2.6;12.5;7.8
"2020-11-09 00:00:00";8.8;10.1;9.5
"2020-11-10 00:00:00";7.5;9.8;8.7
"2020-11-11 00:00:00";5.9;8.1;6.8
"2020-11-12 00:00:00";6.1;9.6;7.6
"2020-11-13 00:00:00";6.2;10.8;8.9
"2020-11-14 00:00:00";7.4;11.1;9.4
"2020-11-15 00:00:00";10.3;13;11.3
"2020-11-16 00:00:00";8.9;12.1;10.6
"2020-11-17 00:00:00";8.6;12.5;10.5
"2020-11-18 00:00:00";9.3;12.6;11.3
"2020-11-19 00:00:00";3.5;11.8;7.9
"2020-11-20 00:00:00";1;7.9;4.6
"2020-11-21 00:00:00";4.1;10.1;7
"2020-11-22 00:00:00";6.5;9.8;8.2
"2020-11-23 00:00:00";5.3;9.3;7
"2020-11-24 00:00:00";6.1;9.2;7.9
"2020-11-25 00:00:00";3.9;8.5;6.6
"2020-11-26 00:00:00";4.1;9.9;7.3
"2020-11-27 00:00:00";-1.4;6.3;2.9
"2020-11-28 00:00:00";-0.8;2.8;1.1
"2020-11-29 00:00:00";-0.4;2.2;0.8
"2020-11-30 00:00:00";-0.7;4.3;1.9
