"DateTime";"Laveste";"Højeste";"Middel"
"2020-10-01 00:00:00";11.4;16;14.1
"2020-10-02 00:00:00";14.4;17.1;15.5
"2020-10-03 00:00:00";14.2;18.6;15.9
"2020-10-04 00:00:00";11.8;16.6;15.1
"2020-10-05 00:00:00";8.9;18.6;13.9
"2020-10-06 00:00:00";9.5;15.3;12.9
"2020-10-07 00:00:00";10.9;16.3;13.2
"2020-10-08 00:00:00";10.1;14.3;12.3
"2020-10-09 00:00:00";8.9;16;12.2
"2020-10-10 00:00:00";6.3;13.3;10.2
"2020-10-11 00:00:00";4.1;13.8;9.2
"2020-10-12 00:00:00";1.6;15.3;7.9
"2020-10-13 00:00:00";5;15;10
"2020-10-14 00:00:00";6.4;12.3;8.7
"2020-10-15 00:00:00";3.8;11.7;8.1
"2020-10-16 00:00:00";2;14.1;8.3
"2020-10-17 00:00:00";3.8;13.1;8.4
"2020-10-18 00:00:00";2.7;12.2;8.4
"2020-10-19 00:00:00";1.6;12.6;6.3
"2020-10-20 00:00:00";5.2;12;10.4
"2020-10-21 00:00:00";10;13.7;11.9
"2020-10-22 00:00:00";12.6;16.6;14.3
"2020-10-23 00:00:00";7.4;14;11.4
"2020-10-24 00:00:00";10;14.7;11.9
"2020-10-25 00:00:00";10.8;13.9;12.7
"2020-10-26 00:00:00";9.8;12.3;11.3
"2020-10-27 00:00:00";8.3;11.9;10.1
"2020-10-28 00:00:00";9;13.9;11
"2020-10-29 00:00:00";5.4;11.3;9.2
"2020-10-30 00:00:00";5.5;11.1;9.2
"2020-10-31 00:00:00";10.5;13.3;12
