"DateTime";"Laveste";"Højeste";"Middel"
"2020-09-01 00:00:00";7.8;21.1;14.5
"2020-09-02 00:00:00";12;20.6;15.5
"2020-09-03 00:00:00";11;21.5;16.2
"2020-09-04 00:00:00";14.1;21.6;17
"2020-09-05 00:00:00";11.9;19.7;15.8
"2020-09-06 00:00:00";10.3;18.9;14
"2020-09-07 00:00:00";9.6;19.6;14.4
"2020-09-08 00:00:00";13.9;21.7;16.8
"2020-09-09 00:00:00";12.4;19.3;16.2
"2020-09-10 00:00:00";8.9;18.2;14
"2020-09-11 00:00:00";7.2;18.8;13.8
"2020-09-12 00:00:00";12.7;19.4;15.4
"2020-09-13 00:00:00";11.9;19.4;15.8
"2020-09-14 00:00:00";13.2;24.6;18.2
"2020-09-15 00:00:00";11.7;26.9;18.4
"2020-09-16 00:00:00";11.5;22;16.2
"2020-09-17 00:00:00";7.2;17.7;12.2
"2020-09-18 00:00:00";3.5;19.3;11.8
"2020-09-19 00:00:00";6.6;19.4;12.3
"2020-09-20 00:00:00";7.7;18.8;13.1
"2020-09-21 00:00:00";10;19.1;14.6
"2020-09-22 00:00:00";7.5;22.3;14.8
"2020-09-23 00:00:00";9.8;23.2;16.6
"2020-09-24 00:00:00";9.9;20.2;16.5
"2020-09-25 00:00:00";8.7;16.2;13.7
"2020-09-26 00:00:00";11.3;17.2;14.4
"2020-09-27 00:00:00";15.8;23.7;18.1
"2020-09-28 00:00:00";11.3;16.8;14.8
"2020-09-29 00:00:00";9.8;19.1;14
"2020-09-30 00:00:00";10.1;18.6;14.2
